Consumer A consumed: 
Item 1 is 1034
Item 2 is 1494
Item 3 is 1504
Item 4 is 1613
Item 5 is 1451
Item 6 is 1834
Item 7 is 1474
Item 8 is 1869
Item 9 is 1761
Item 10 is 809
Item 11 is 1341
Item 12 is 1613
Item 13 is 1781
Item 14 is 1053
Item 15 is 1243
Item 16 is 1685
Item 17 is 1682
Item 18 is 1569
Item 19 is 1675
Item 20 is 1924
Item 21 is 1841
Item 22 is 1637
Item 23 is 1050
Item 24 is 1287
Item 25 is 1670
Item 26 is 1410
Item 27 is 1891
Item 28 is 1314
Item 29 is 192
Item 30 is 1640
Item 31 is 1108
Item 32 is 1962
Item 33 is 1070
Item 34 is 1174
Item 35 is 1107
Item 36 is 1117
Item 37 is 1579
Item 38 is 1852
Item 39 is 960
Item 40 is 1297
Item 41 is 1232
Item 42 is 1460
Item 43 is 1936
Item 44 is 1338
Item 45 is 1790
Item 46 is 1667
Item 47 is 1653
Item 48 is 1103
Item 49 is 1621
Item 50 is 1075
Item 51 is 1934
Item 52 is 368
Item 53 is 590
Item 54 is 90
Item 55 is 151
Item 56 is 376
Item 57 is 279
Item 58 is 810
Item 59 is 322
Item 60 is 427
Item 61 is 395
Item 62 is 553
Item 63 is 606
Item 64 is 480
Item 65 is 125
Item 66 is 436
Item 67 is 938
Item 68 is 766
Item 69 is 108
Item 70 is 539
Item 71 is 411
Item 72 is 56
Item 73 is 638
Item 74 is 852
Item 75 is 526
Item 76 is 774
Item 77 is 611
Item 78 is 342
Item 79 is 423
Item 80 is 469
Item 81 is 350
Item 82 is 821
Item 83 is 189
Item 84 is 520
Item 85 is 876
Item 86 is 642
Item 87 is 120
Item 88 is 986
Item 89 is 727
Item 90 is 875
Item 91 is 180
Item 92 is 340
Item 93 is 668
Item 94 is 880
Item 95 is 110
Item 96 is 994
Item 97 is 164
Item 98 is 986
Item 99 is 886
Item 100 is 989
Consumed 52 items from producer1
Consumed 48 items from producer2
Consumer B consumed: 
Item 1 is 176
Item 2 is 488
Item 3 is 155
Item 4 is 1701
Item 5 is 1094
Item 6 is 1995
Item 7 is 1577
Item 8 is 1652
Item 9 is 1170
Item 10 is 1162
Item 11 is 1790
Item 12 is 1144
Item 13 is 1599
Item 14 is 448
Item 15 is 1024
Item 16 is 1526
Item 17 is 1060
Item 18 is 1869
Item 19 is 1164
Item 20 is 1789
Item 21 is 1900
Item 22 is 1318
Item 23 is 1996
Item 24 is 1996
Item 25 is 1371
Item 26 is 1035
Item 27 is 1531
Item 28 is 1087
Item 29 is 1683
Item 30 is 1376
Item 31 is 1688
Item 32 is 1847
Item 33 is 1313
Item 34 is 1782
Item 35 is 1066
Item 36 is 1704
Item 37 is 1262
Item 38 is 1441
Item 39 is 1881
Item 40 is 1215
Item 41 is 1196
Item 42 is 1239
Item 43 is 1114
Item 44 is 1685
Item 45 is 1677
Item 46 is 1514
Item 47 is 1177
Item 48 is 1098
Item 49 is 1910
Item 50 is 1870
Item 51 is 1669
Item 52 is 1615
Item 53 is 1705
Item 54 is 1543
Item 55 is 1026
Item 56 is 1458
Item 57 is 500
Item 58 is 136
Item 59 is 828
Item 60 is 970
Item 61 is 328
Item 62 is 992
Item 63 is 408
Item 64 is 245
Item 65 is 760
Item 66 is 918
Item 67 is 429
Item 68 is 957
Item 69 is 924
Item 70 is 818
Item 71 is 779
Item 72 is 43
Item 73 is 105
Item 74 is 602
Item 75 is 487
Item 76 is 305
Item 77 is 654
Item 78 is 969
Item 79 is 927
Item 80 is 420
Item 81 is 457
Item 82 is 507
Item 83 is 935
Item 84 is 857
Item 85 is 218
Item 86 is 255
Item 87 is 43
Item 88 is 142
Item 89 is 812
Item 90 is 947
Item 91 is 238
Item 92 is 633
Item 93 is 510
Item 94 is 137
Item 95 is 498
Item 96 is 101
Item 97 is 453
Item 98 is 640
Item 99 is 602
Item 100 is 706
Consumed 48 items from producer1
Consumed 52 items from producer2
