Consumer A consumed: 
Item 1 is 153
Item 2 is 1996
Item 3 is 1895
Item 4 is 1535
Item 5 is 1074
Item 6 is 57
Item 7 is 69
Item 8 is 987
Item 9 is 469
Item 10 is 465
Item 11 is 383
Item 12 is 649
Item 13 is 6
Item 14 is 601
Item 15 is 750
Item 16 is 317
Item 17 is 881
Item 18 is 320
Item 19 is 257
Item 20 is 807
Item 21 is 750
Item 22 is 104
Item 23 is 977
Item 24 is 760
Item 25 is 319
Item 26 is 951
Item 27 is 784
Item 28 is 987
Item 29 is 197
Item 30 is 624
Item 31 is 332
Item 32 is 758
Item 33 is 658
Item 34 is 91
Item 35 is 88
Item 36 is 695
Item 37 is 917
Item 38 is 259
Item 39 is 701
Item 40 is 339
Item 41 is 431
Item 42 is 350
Item 43 is 712
Item 44 is 491
Item 45 is 1742
Item 46 is 522
Item 47 is 166
Item 48 is 405
Item 49 is 653
Item 50 is 1565
Item 51 is 1547
Item 52 is 1001
Item 53 is 1582
Item 54 is 1793
Item 55 is 356
Item 56 is 1583
Item 57 is 756
Item 58 is 465
Item 59 is 859
Item 60 is 361
Item 61 is 750
Item 62 is 331
Item 63 is 1453
Item 64 is 1916
Item 65 is 1234
Item 66 is 1231
Item 67 is 1954
Item 68 is 1173
Item 69 is 1818
Item 70 is 1835
Item 71 is 1651
Item 72 is 1831
Item 73 is 1828
Item 74 is 1471
Item 75 is 1201
Item 76 is 1209
Item 77 is 1655
Item 78 is 1814
Item 79 is 1442
Item 80 is 1113
Item 81 is 1979
Item 82 is 1096
Item 83 is 1367
Item 84 is 1611
Item 85 is 1488
Item 86 is 1892
Item 87 is 1178
Item 88 is 1682
Item 89 is 1635
Item 90 is 1763
Item 91 is 1909
Item 92 is 1290
Item 93 is 1070
Item 94 is 1466
Item 95 is 1383
Item 96 is 1245
Item 97 is 1459
Item 98 is 1973
Item 99 is 1919
Item 100 is 1130
Consumed 51 items from producer1
Consumed 49 items from producer2
Consumer B consumed: 
Item 1 is 36
Item 2 is 1675
Item 3 is 1708
Item 4 is 186
Item 5 is 996
Item 6 is 845
Item 7 is 557
Item 8 is 555
Item 9 is 776
Item 10 is 461
Item 11 is 668
Item 12 is 674
Item 13 is 75
Item 14 is 107
Item 15 is 793
Item 16 is 413
Item 17 is 983
Item 18 is 429
Item 19 is 436
Item 20 is 571
Item 21 is 758
Item 22 is 140
Item 23 is 188
Item 24 is 17
Item 25 is 430
Item 26 is 279
Item 27 is 578
Item 28 is 855
Item 29 is 919
Item 30 is 470
Item 31 is 196
Item 32 is 1338
Item 33 is 1577
Item 34 is 615
Item 35 is 1101
Item 36 is 572
Item 37 is 824
Item 38 is 219
Item 39 is 676
Item 40 is 471
Item 41 is 576
Item 42 is 782
Item 43 is 1606
Item 44 is 254
Item 45 is 1754
Item 46 is 911
Item 47 is 13
Item 48 is 590
Item 49 is 33
Item 50 is 1947
Item 51 is 1989
Item 52 is 1275
Item 53 is 1348
Item 54 is 1399
Item 55 is 1210
Item 56 is 1027
Item 57 is 831
Item 58 is 292
Item 59 is 520
Item 60 is 992
Item 61 is 928
Item 62 is 183
Item 63 is 1481
Item 64 is 453
Item 65 is 1491
Item 66 is 1636
Item 67 is 1161
Item 68 is 1276
Item 69 is 1614
Item 70 is 1284
Item 71 is 1350
Item 72 is 1258
Item 73 is 1108
Item 74 is 1607
Item 75 is 1939
Item 76 is 1625
Item 77 is 1537
Item 78 is 1773
Item 79 is 1668
Item 80 is 1315
Item 81 is 1008
Item 82 is 1676
Item 83 is 1882
Item 84 is 1385
Item 85 is 1417
Item 86 is 1199
Item 87 is 1418
Item 88 is 1084
Item 89 is 1800
Item 90 is 1059
Item 91 is 1797
Item 92 is 1474
Item 93 is 1268
Item 94 is 1262
Item 95 is 1328
Item 96 is 1788
Item 97 is 1703
Item 98 is 1628
Item 99 is 1653
Item 100 is 1512
Consumed 49 items from producer1
Consumed 51 items from producer2
